"accuratePass" "goalsConceded" "saves" "goalKicks" "totalPass" "gameStarted" "minsPlayed" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "lostCorners" "totalScoringAtt" "totalThrows" "totalTackle" "shotOffTarget" "fouls" "wasFouled" "ontargetScoringAtt" "goals" "totalSubOff" "wonCorners" "yellowCard" "cornerTaken" "totalSubOn" "stats[2, ]" "local" "id_partido" "blockedScoringAtt" "totalOffside" "goalAssist" "cleanSheet" "ownGoals" "redCard" "penaltyFaced" "penGoalsConceded" "penaltyConceded" "penaltyWon" "penaltySave" "secondYellow"
"10" "3" "3" "6" "11" "1" "90" "1" "1" "2017-10-25Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "1xby8xmlvh1g5j4sw2eorcl49" "Goalkeeper" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA TRUE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"37" "3" NA NA "47" "1" "90" NA "3" "2017-10-25Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "avrafbh1kctz4io6h1fthedih" "Defender" "2" "1" "1" "12" "2" "1" "2" NA NA NA NA NA NA NA NA NA TRUE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"48" "3" NA NA "57" "1" "90" "6" "6" "2017-10-25Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "4nxwulhcslrexfhyo83lj8kix" "Defender" NA "1" NA NA "1" NA NA NA NA NA NA NA NA NA NA NA TRUE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"37" "3" NA NA "41" "1" "90" NA "5" "2017-10-25Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "cvaxfefhg7om26x0gnqnpw3xl" "Defender" NA "1" "1" NA "2" "1" "1" NA NA NA NA NA NA NA NA NA TRUE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"27" "3" NA NA "33" "1" "90" "2" "2" "2017-10-25Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "94vz9l4bhvsvs9909kksvs3qh" "Defender" NA "2" "2" "13" "2" NA "1" "1" "2" "1" NA NA NA NA NA NA TRUE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"34" "2" NA NA "42" "1" "71" "1" "4" "2017-10-25Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "d7k81mlt4vh9lex8fd10tigh5" "Defensive Midfielder" NA NA NA NA NA NA NA "1" NA NA "1" NA NA NA NA NA TRUE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"46" "3" NA NA "48" "1" "90" NA "11" "2017-10-25Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "9c9v6wjh3fufmds8nm5aqfmcp" "Midfielder" "1" NA "3" NA "2" "1" NA "2" "2" NA NA NA NA NA NA NA TRUE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"65" "3" NA NA "72" "1" "86" NA "10" "2017-10-25Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "2bdwdmbf1ty0nwmu6hjysupk9" "Midfielder" "2" NA "1" NA "2" NA NA "1" "1" NA "1" NA NA NA NA NA TRUE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"92" "3" NA NA "97" "1" "90" "1" "8" "2017-10-25Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "5e13xwlorl1gjrnjjtfnzawa1" "Midfielder" "1" NA "2" "1" "1" NA NA "1" "2" NA NA "1" NA NA NA NA TRUE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"13" "2" NA NA "18" "1" "60" "1" "7" "2017-10-25Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "evlxqujazgf6wz7gy97g73aw9" "Midfielder" "2" NA "2" NA "2" "1" "3" NA "1" NA "1" "1" "1" "2" NA NA TRUE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"13" "3" NA NA "20" "1" "90" NA "9" "2017-10-25Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "drtfhsho2kjit9gfq6u9eujmx" "Striker" NA NA "2" NA NA "2" "2" "1" NA NA NA NA "1" NA NA NA TRUE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
"10" NA NA NA "12" NA "4" NA "0" "2017-10-25Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "9y1n41aljqama1mq47794h621" "Substitute" NA NA "1" NA NA "1" NA NA NA NA NA NA NA NA "1" NA TRUE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2017-10-25Z" "603sjct5syn537sfee5vgztm1" "Brazil U17" "4llri4uovs43vn8bi0rbn6b55" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" TRUE "e2l76382fu3p92fi1kcf2qne" NA NA NA NA NA NA NA NA NA NA NA NA
