"accuratePass" "penaltyConceded" "goalsConceded" "penaltyFaced" "goalKicks" "totalPass" "gameStarted" "penGoalsConceded" "minsPlayed" "fouls" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "totalThrows" "totalTackle" "wonCorners" "yellowCard" "totalScoringAtt" "shotOffTarget" "wasFouled" "lostCorners" "totalOffside" "totalSubOff" "cornerTaken" "ontargetScoringAtt" "blockedScoringAtt" "stats[2, ]" "totalSubOn" "redCard" "local" "id_partido" "saves" "cleanSheet" "goals" "penaltyWon" "goalAssist" "secondYellow" "penaltySave" "ownGoals"
"10" "1" "3" "1" "5" "12" "1" "1" "90" "1" "2" "1" "2017-05-20Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "cms7r9vf9zbz6mdt7bq3pge7d" "Goalkeeper" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA TRUE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
"51" NA "3" NA NA "59" "1" "1" "90" NA NA "3" "2017-05-20Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "yb7c70u86g7i6whymdws8t0p" "Defender" "2" "18" "2" "1" NA NA NA NA NA NA NA NA NA NA NA NA NA TRUE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
"31" NA "3" NA NA "42" "1" "1" "90" "1" NA "6" "2017-05-20Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "95pzsjfh0wf6isp6qpf9lddyh" "Defender" "1" "1" "1" "1" "1" "1" "1" NA NA NA NA NA NA NA NA NA NA TRUE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
"38" NA "3" NA NA "41" "1" "1" "90" NA "2" "5" "2017-05-20Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "5soi8e2hlk77rlsbsl76hg3xl" "Defender" "5" NA "5" NA NA NA NA "2" "1" NA NA NA NA NA NA NA NA TRUE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
"48" NA "3" NA NA "55" "1" "1" "90" NA NA "2" "2017-05-20Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "1y74tse0vpdxanxf152cc8jjd" "Defender" "1" "11" "3" "3" NA "2" "2" "1" NA "1" NA NA NA NA NA NA NA TRUE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
"59" NA "3" NA NA "66" "1" "1" "90" "1" "2" "4" "2017-05-20Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "5m5qyz18o5hmta6mh4zk57sh5" "Defensive Midfielder" "5" NA "5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA TRUE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
"47" NA "2" NA NA "58" "1" NA "74" "1" "1" "8" "2017-05-20Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "1u9sn1cu0pq16mina2q6d6dwp" "Defensive Midfielder" NA NA NA NA "1" "3" "3" "1" NA NA "1" "4" NA NA NA NA NA TRUE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
"18" NA "2" NA NA "23" "1" NA "60" "2" NA "11" "2017-05-20Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "b5dk94sbylt0febhj2xry0mp5" "Attacking Midfielder" NA NA NA NA NA "1" NA "1" NA NA "1" NA "1" NA NA NA NA TRUE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
"49" NA "2" NA NA "63" "1" NA "60" NA NA "10" "2017-05-20Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "6rg37ej1x7pwi7r4aq1107pih" "Attacking Midfielder" "2" "1" "2" "1" NA "2" "2" NA NA NA "1" "3" NA NA NA NA NA TRUE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
"26" NA "3" NA NA "30" "1" "1" "90" "1" NA "7" "2017-05-20Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "4otr8rf2y77v2sdkf8z81hwq1" "Attacking Midfielder" "1" NA "1" NA NA "3" NA "3" NA NA NA NA "1" "2" NA NA NA TRUE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
"23" NA "3" NA NA "27" "1" "1" "90" NA NA "9" "2017-05-20Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "a971j313ztjvcgojpg6u390b9" "Striker" NA NA NA "1" NA "5" "3" NA "1" NA NA NA "2" NA NA NA NA TRUE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA "2017-05-20Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "277gxov17rifhp895d813d815" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
"10" NA "1" NA NA "14" NA "1" "30" "1" NA "0" "2017-05-20Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "d6vfmln3oxuel34y15hnp8bft" "Substitute" NA NA NA "1" NA "2" "2" "2" NA NA NA "1" NA NA NA "1" NA TRUE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
"4" NA "1" NA NA "7" NA "1" "16" NA NA "0" "2017-05-20Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "tin8nl1psrogksg5hm0ubill" "Substitute" "1" NA "2" "1" NA "1" NA "1" NA NA NA "1" "1" NA NA "1" NA TRUE "92uw9s8gr42b2bmdsnjk1wquh" NA NA NA NA NA NA NA NA
