"accuratePass" "goalsConceded" "saves" "goalKicks" "totalPass" "gameStarted" "minsPlayed" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "yellowCard" "totalThrows" "totalTackle" "fouls" "wasFouled" "lostCorners" "totalClearance" "ontargetScoringAtt" "totalScoringAtt" "shotOffTarget" "wonCorners" "blockedScoringAtt" "totalSubOff" "cornerTaken" "goals" "stats[2, ]" "totalSubOn" "local" "id_partido" "ownGoals" "totalOffside" "goalAssist" "penaltyFaced" "penGoalsConceded" "penaltyConceded" "penaltyWon" "redCard" "cleanSheet" "secondYellow" "penaltySave"
"16" "2" "3" "16" "31" "1" "120" "1" "2019-06-04Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "4uird4b63fa9biw28s6asegvd" "Goalkeeper" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA TRUE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"43" "2" NA NA "56" "1" "120" "3" "2019-06-04Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "ch0a4pjl5j095773ajdm9pn56" "Defender" "1" "1" "8" "3" "1" NA NA NA NA NA NA NA NA NA NA NA NA NA TRUE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"49" "2" NA NA "60" "1" "120" "6" "2019-06-04Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "br7zigajqee6fms35zhm1sb8p" "Defender" NA NA NA "2" "2" "1" "1" "2" NA NA NA NA NA NA NA NA NA NA TRUE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"55" "2" NA NA "68" "1" "120" "5" "2019-06-04Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "4h1jj93i0v1pfemnjydnoc0dl" "Defender" "2" NA NA "4" "1" NA "3" "6" "2" "3" "1" NA NA NA NA NA NA NA TRUE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"61" "2" NA NA "71" "1" "120" "2" "2019-06-04Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "1f31thx3fu98rzo1srsc57cyy" "Defender" NA NA "16" NA "1" "1" "1" "3" NA NA NA "1" NA NA NA NA NA NA TRUE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"76" "2" NA NA "90" "1" "120" "4" "2019-06-04Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "wkuyizd9nk64l9f1yjx6qtbd" "Defensive Midfielder" "2" NA NA "3" "1" "1" NA NA NA "1" "1" "1" NA NA NA NA NA NA TRUE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"55" "1" NA NA "62" "1" "94" "8" "2019-06-04Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "3xmv3bvtkh8pccvlty2z20dii" "Defensive Midfielder" "3" NA NA "3" "1" NA NA "1" NA "3" "2" "2" "1" "1" "1" NA NA NA TRUE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"63" "1" NA NA "76" "1" "117" "11" "2019-06-04Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "9crw9og5xe70mc0m1etggpdk9" "Attacking Midfielder" "1" "1" "3" "1" NA "4" NA NA NA "4" "1" "2" "3" "1" "8" NA NA NA TRUE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"34" "1" NA NA "42" "1" "87" "10" "2019-06-04Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "9ikkuxd19avliz1khcrm82gyy" "Attacking Midfielder" NA NA "1" "2" NA "1" NA NA "3" "4" NA "1" "1" "1" NA NA NA NA TRUE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"22" NA NA NA "31" "1" "59" "7" "2019-06-04Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "9ovohr9c65nhr4dabm32t7pbd" "Attacking Midfielder" NA NA NA NA "5" NA NA NA NA NA NA NA NA "1" NA NA NA NA TRUE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
"15" "2" NA NA "17" "1" "120" "9" "2019-06-04Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "83kdacraf2mcnbg038ld68ne2" "Striker" "2" NA NA "3" "2" "1" NA "1" "2" "5" "3" NA NA NA NA "1" NA NA TRUE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA "2019-06-04Z" "d6u776z1u68vhap9hp9zjuydw" "Argentina U20" "azkyhgexe8fugq5tzgprig63t" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "cu7f8bbg2i2hvbnaqxquccjmy" NA NA NA NA NA NA NA NA NA NA NA
