"accuratePass";"goalsConceded";"saves";"penaltyFaced";"goalKicks";"totalPass";"gameStarted";"penGoalsConceded";"minsPlayed";"totalClearance";"formationPlace";"fecha";"idequipo";"equipo";"idjugador";"position";"firstName";"lastName";"wonTackle";"wasFouled";"lostCorners";"totalThrows";"totalTackle";"ontargetScoringAtt";"totalScoringAtt";"goals";"penaltyConceded";"totalOffside";"wonCorners";"fouls";"shotOffTarget";"yellowCard";"totalSubOff";"goalAssist";"cornerTaken";"stats[2, ]";"totalSubOn";"local";"id_partido";"blockedScoringAtt";"penaltyWon";"redCard";"secondYellow";"ownGoals";"cleanSheet";"penaltySave"
"11";"1";"4";"1";"9";"25";"1";"1";"90";"1";"1";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"5hxyo9kveiykjyewoat4q7yl1";"Goalkeeper";"Eryin Alexis";"Sanhueza Mora";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"31";"1";NA;NA;NA;"41";"1";"1";"90";"2";"4";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"abb1eu1hpcrox97w3z01nxrkl";"Defender";"Fabián Andrés";"Torres Cuello";"2";"1";"1";"1";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"34";"1";NA;NA;NA;"39";"1";"1";"90";"3";"5";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"be2mkt8tl6bgnm4nyzb5l02c5";"Defender";"Manuel Elías";"Fernández Guzmán";"3";NA;NA;"1";"4";"1";"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"26";"1";NA;NA;NA;"34";"1";"1";"90";"1";"6";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"epvt3nij5xk960wrr4omk2f2t";"Defender";"Carlos Alfredo";"Labrin Candia";"4";NA;NA;"3";"4";NA;NA;NA;"1";"1";"1";"2";NA;NA;NA;NA;NA;NA;NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"32";"1";NA;NA;NA;"47";"1";"1";"90";NA;"3";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"8i2jufhd0hz8i0n88p82sk0r9";"Midfielder";"Matías Daniel";"Campos Toro";NA;NA;NA;"6";NA;NA;"2";NA;NA;"1";NA;"2";"2";NA;NA;NA;NA;NA;NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"38";"1";NA;NA;NA;"42";"1";"1";"76";NA;"8";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"3i66iyijtz2p4xd7ngsc444ph";"Midfielder";"Ariel Elías";"Martínez Arce";NA;"1";NA;NA;"2";NA;NA;NA;NA;NA;NA;"1";NA;"1";"1";NA;NA;NA;NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"24";NA;NA;NA;NA;"27";"1";NA;"45";NA;"7";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"4yvk7o42utehkf7nki39zafo5";"Midfielder";"Iván Gonzalo";"Vásquez Quilodrán";NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"22";"1";NA;NA;NA;"27";"1";"1";"90";"3";"2";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"4ry41imxbur7epfo5igydybpx";"Midfielder";"Osvaldo Javier";"Bosso Torres";"2";"2";NA;"13";"2";NA;"1";NA;NA;NA;NA;"3";"1";"1";NA;"1";NA;NA;NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"62";"1";NA;NA;NA;"70";"1";"1";"90";NA;"9";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"18pa8hde4d0jkbtpltej87tg5";"Attacking Midfielder";"Iván Patricio";"Ledezma Ahumada";"1";NA;NA;NA;"1";"2";"3";NA;NA;NA;NA;"1";"1";NA;NA;NA;"1";NA;NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"9";NA;NA;NA;NA;"12";"1";NA;"45";NA;"11";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"adh3gj9e2avq8j3ib8kbfjw7p";"Striker";"Renato Nicolás";"Tarifeño Aranda";"2";"1";NA;NA;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"10";"1";NA;NA;NA;"16";"1";"1";"90";NA;"10";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"edzgrsne5h4lt5m2aex9s59t5";"Striker";"Sergio Henrique";"Santos Gomes";"3";"5";NA;NA;"3";"1";"1";NA;NA;"3";NA;"2";NA;NA;NA;NA;NA;NA;NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"a1ifm5kvocs5jjejgg3tkp1x";"Substitute";"Darío";"Bottinelli";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
"40";"1";NA;NA;NA;"41";NA;"1";"45";NA;"0";"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"8vrkluulimwjtncia6xiui5zp";"Substitute";"Luis Alberto";"Cabrera Figueroa";NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;"1";TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2018-10-28Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"9j5hkfilerc8upy6zl1gpucph";"Substitute";"Nicolás Ignacio";"Crovetto Aqueveque";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";NA;TRUE;"33ydtzo3zqd6sy77cbrrsy22";NA;NA;NA;NA;NA;NA;NA
