Output;position;mean goalAssist;mean totalScoringAtt;mean ontargetScoringAtt;mean totalPass;mean accuratePass;mean totalThrows;mean wasFouled;mean totalOffside;mean wonTackle;mean totalClearance;mean blockedScoringAtt;mean fouls;mean yellowCard;mean goals;mean totalTackle;mean goalsConceded;mean wonCorners;mean lostCorners
Bottom3;Attacking Midfielder;0,14084507;1,570422535;0,556338028;27,07746479;20,38732394;0,521126761;1,732394366;0,225352113;0,845070423;0,373239437;0,422535211;1,169014085;0,133802817;0,112676056;1,112676056;1,190140845;0,894366197;0,112676056
medio;Attacking Midfielder;0,156818182;1,629545455;0,547727273;28,91590909;21,77727273;0,577272727;1,645454545;0,281818182;0,915909091;0,397727273;0,347727273;1,229545455;0,154545455;0,156818182;1,195454545;1,090909091;0,738636364;0,072727273
Top3;Attacking Midfielder;0,13836478;1,622641509;0,578616352;28,29559748;21,10062893;0,446540881;1,716981132;0,245283019;1,157232704;0,283018868;0,396226415;1,408805031;0,213836478;0,163522013;1,591194969;0,823899371;0,805031447;0,106918239
Bottom3;Defender;0,037037037;0,433048433;0,111111111;34,35897436;26,04558405;4,595441595;1,133903134;0,037037037;1,407407407;3,367521368;0,07977208;1,096866097;0,207977208;0,034188034;1,780626781;1,452991453;0,250712251;0,706552707
medio;Defender;0,039577836;0,491644679;0,127528584;35,62005277;26,73614776;4,423043096;0,883025506;0,055408971;1,374670185;3,71416007;0,08707124;1,201407212;0,203166227;0,033421284;1,769569041;1,246262093;0,238346526;0,80474934
Top3;Defender;0,045977011;0,413793103;0,112068966;38,20114943;29,75574713;4,606321839;0,985632184;0,048850575;1,390804598;3,456896552;0,103448276;1,08908046;0,198275862;0,037356322;1,905172414;0,962643678;0,186781609;0,790229885
Bottom3;Defensive Midfielder;0,03539823;0,690265487;0,256637168;35,51327434;27,79646018;0,300884956;1,203539823;0,132743363;1,486725664;0,96460177;0,079646018;1,628318584;0,256637168;0,061946903;1,82300885;1,194690265;0,194690265;0,353982301
medio;Defensive Midfielder;0,064724919;0,899676375;0,25566343;39,03883495;31,21035599;0,281553398;1,207119741;0,045307443;1,715210356;1,080906149;0,236245955;1,676375405;0,207119741;0,051779935;2,233009709;1,122977346;0,25566343;0,291262136
Top3;Defensive Midfielder;0,049019608;1,264705882;0,343137255;45,54901961;37,14705882;0,205882353;1,617647059;0,058823529;1,578431373;1,882352941;0,284313725;1,294117647;0,205882353;0,147058824;2,117647059;0,87254902;0,284313725;0,37254902
Bottom3;Midfielder;0,070063694;1,184713376;0,363057325;34,64968153;26,7133758;1,464968153;1,337579618;0,025477707;1,292993631;0,961783439;0,299363057;1,560509554;0,25477707;0,031847134;1,687898089;1,49044586;0,649681529;0,178343949
