"accuratePass";"goalsConceded";"saves";"penaltyFaced";"goalKicks";"totalPass";"gameStarted";"penGoalsConceded";"minsPlayed";"totalClearance";"formationPlace";"fecha";"idequipo";"equipo";"idjugador";"position";"nombres";"apellidos";"wonTackle";"lostCorners";"totalThrows";"totalTackle";"fouls";"wasFouled";"penaltyConceded";"secondYellow";"redCard";"totalScoringAtt";"totalSubOff";"totalOffside";"shotOffTarget";"yellowCard";"cornerTaken";"blockedScoringAtt";"wonCorners";"totalSubOn";"subposicion";"stats[2, ]";"local";"id_partido";"cleanSheet";"ontargetScoringAtt";"goals";"goalAssist";"penaltySave";"penaltyWon";"ownGoals"
"9";"3";"3";"2";"8";"19";"1";"2";"90";"1";"1";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"276g6pfpah0p1dva0bfi18hqt";"Goalkeeper";"Joaquín Emanuel";"Muñoz Almarza";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"25";"3";NA;NA;NA;"31";"1";"2";"90";"5";"4";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"abb1eu1hpcrox97w3z01nxrkl";"Defender";"Fabián Andrés";"Torres Cuello";"3";"1";"3";"3";"4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"14";"1";NA;NA;NA;"17";"1";"1";"66";"9";"5";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"be2mkt8tl6bgnm4nyzb5l02c5";"Defender";"Manuel Elías";"Fernández Guzmán";NA;"1";NA;NA;"1";"2";"1";"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"33";"3";NA;NA;NA;"42";"1";"2";"90";"5";"6";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"epvt3nij5xk960wrr4omk2f2t";"Defender";"Carlos Alfredo";"Labrin Candia";"4";NA;"3";"6";"4";"2";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"13";"2";NA;NA;NA;"24";"1";"2";"70";"3";"3";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"9j5hkfilerc8upy6zl1gpucph";"Midfielder";"Nicolás Ignacio";"Crovetto Aqueveque";"2";NA;"6";"2";NA;NA;NA;NA;NA;"1";"1";"1";"1";NA;NA;NA;NA;NA;NA;NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"43";"3";NA;NA;NA;"61";"1";"2";"90";"1";"8";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"23rxggjnk33ensvafo1ebfdg5";"Midfielder";"Diego Ignacio";"Torres Quintana";"1";NA;"4";"1";"2";"1";NA;NA;NA;"1";NA;NA;"1";"1";"1";NA;NA;NA;NA;NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"44";"3";NA;NA;NA;"55";"1";"2";"90";NA;"7";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"8vrkluulimwjtncia6xiui5zp";"Midfielder";"Luis Alberto";"Cabrera Figueroa";"3";NA;"1";"3";"3";"1";NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"5";"1";NA;NA;NA;"9";"1";"1";"45";"1";"2";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"cv2m0fe5o4urquub6b5gm4t4a";"Midfielder";"Nicolás Esteban";"Fernández Muñoz";NA;NA;"3";NA;"1";NA;NA;NA;NA;"1";"1";NA;"1";NA;NA;NA;NA;NA;NA;NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"19";"3";NA;NA;NA;"27";"1";"2";"90";NA;"9";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"3i66iyijtz2p4xd7ngsc444ph";"Attacking Midfielder";"Ariel Elías";"Martínez Arce";NA;NA;"1";"1";"1";NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;"1";"2";NA;NA;NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
"12";"2";NA;NA;NA;"15";"1";"2";"83";NA;"11";"2019-02-18Z";"59d4d2m78t2lqabd1m7o90std";"Audax Italiano";"f3tjqzh572x0hdklx5o2ue1g5";"Striker";"Leonardo Gabriel";"Rolón";NA;NA;"2";NA;"1";"1";NA;NA;NA;"2";"1";NA;"2";NA;NA;NA;NA;NA;NA;NA;TRUE;"ceoxcposkvoqax3zwkrlj7p7u";NA;NA;NA;NA;NA;NA;NA
