"accuratePass" "lostCorners" "goalsConceded" "saves" "penaltyFaced" "goalKicks" "totalPass" "gameStarted" "totalTackle" "penGoalsConceded" "minsPlayed" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "blockedScoringAtt" "totalScoringAtt" "totalThrows" "totalSubOff" "shotOffTarget" "wonCorners" "cornerTaken" "penaltyConceded" "yellowCard" "ontargetScoringAtt" "fouls" "wonTackle" "wasFouled" "goals" "totalSubOn" "stats[2, ]" "totalOffside" "local" "id_partido" "penaltyWon" "goalAssist" "cleanSheet" "ownGoals" "penaltySave" "secondYellow" "redCard"
"8" "1" "1" "2" "1" "3" "9" "1" "1" "1" "90" "1" "1" "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "8f3qqvu7m3xlda67xcfi7ktex" "Goalkeeper" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"27" NA "1" NA NA NA "33" "1" NA "1" "63" NA "3" "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "djs5syjzqdeh70g1xkzmbvld5" "Defender" "1" "2" "7" "1" "1" "1" "2" NA NA NA NA NA NA NA NA NA NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"65" NA "1" NA NA NA "72" "1" "1" "1" "90" "2" "6" "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "1ofsz5y4wb4pt6xp0u06hc5pl" "Defender" NA "1" NA NA NA NA NA "1" "1" "1" "1" NA NA NA NA NA NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"49" "1" "1" NA NA NA "55" "1" "5" "1" "90" "3" "5" "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "6cj33vcdel471ofwf6ru62eol" "Defender" NA "1" NA NA "1" NA NA NA "1" NA "2" "3" NA NA NA NA NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"48" NA "1" NA NA NA "55" "1" "2" "1" "90" "1" "2" "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "61okani22usgnp1fxaohs5vxl" "Defender" NA "1" "11" NA NA NA "1" NA NA "1" NA "1" "1" NA NA NA NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"22" NA "1" NA NA NA "26" "1" NA "1" "90" NA "11" "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "f2la9xekdpt2ni3v22tlslii1" "Midfielder" "4" "5" NA NA "1" "2" NA NA NA NA "4" NA "5" NA NA NA NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"55" NA "1" NA NA NA "65" "1" "1" "1" "90" NA "8" "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "23nuijdnnuiwzkd5cf7jbyajt" "Midfielder" NA "1" NA NA NA NA "1" NA NA "1" "2" "1" "1" NA NA NA NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"26" NA "1" NA NA NA "35" "1" NA "1" "75" NA "4" "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "a9upm3npkvgxrp2bvqxlqj00l" "Midfielder" "3" "5" NA "1" "1" "2" "3" NA NA "1" NA NA "1" NA NA NA NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"22" NA "1" NA NA NA "30" "1" NA "1" "90" "1" "7" "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "e36torutnni07sfjf4eo6ge09" "Midfielder" "1" "1" "5" NA NA NA "2" NA NA NA NA NA NA NA NA NA NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"10" NA "1" NA NA NA "14" "1" NA "1" "90" NA "9" "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "1bw2kkdm9fcqpl2brljc0g8vd" "Striker" "2" "3" NA NA "1" "1" NA NA NA NA NA NA "2" NA NA NA NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"3" NA "1" NA NA NA "4" "1" NA "1" "62" NA "10" "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "dzhvgrdkl4nuj8z4fd9to0ag9" "Striker" "1" "3" NA "1" "1" "2" NA NA NA "1" NA NA "1" NA NA NA NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
"7" NA NA NA NA NA "9" NA "1" NA "27" NA "0" "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "9tbrhbbmfxq8l363kybl4g7ah" "Substitute" NA "1" NA NA NA "1" "2" NA NA "1" NA "1" NA "1" "1" NA NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "4hiw57ra1n6ouboi7axlj9g4p" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "9gbkxl5wtgkopgiwu2qcsh8fd" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
NA NA NA NA NA NA "2" NA "1" NA "28" NA "0" "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "cr7u1gwlgbeyg9zo99j3h0qcq" "Substitute" NA NA NA NA NA NA NA NA NA NA "1" "1" NA NA "1" NA "2" TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "5luxmpmw3guwbd436k7ao2go9" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "djg91s3zqp65v59qflu7cnhl" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA "2018-08-08Z" "dvgw0qynzlhh4g803pjis0k9c" "Brazil U20" "834g52ukee26u85e0ijh193vt" "Substitute" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA TRUE "di9glhotfbyf0lrh980kjnm22" NA NA NA NA NA NA NA
