"accuratePass" "saves" "goalKicks" "totalPass" "gameStarted" "cleanSheet" "minsPlayed" "totalClearance" "formationPlace" "fecha" "idequipo" "equipo" "idjugador" "position" "wonTackle" "totalThrows" "totalTackle" "wasFouled" "fouls" "lostCorners" "totalSubOff" "ontargetScoringAtt" "totalScoringAtt" "totalOffside" "blockedScoringAtt" "stats[2, ]" "totalSubOn" "shotOffTarget" "local" "id_partido" "wonCorners" "yellowCard" "cornerTaken" "goalsConceded" "penaltyFaced" "penGoalsConceded" "penaltyConceded" "goalAssist" "goals" "ownGoals" "penaltyWon" "penaltySave" "secondYellow" "redCard"
"11" "2" "15" "21" "1" "1" "90" "1" "1" "2019-06-10Z" "3btsze7bdibe9vm0to62hecrv" "Argentina" "4btnnf7cebh0i924dzg89d591" "Goalkeeper" NA NA NA NA NA NA NA NA NA NA NA NA NA NA TRUE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" NA NA "15" "1" "1" "90" "3" "3" "2019-06-10Z" "3btsze7bdibe9vm0to62hecrv" "Argentina" "7txasnyjkoimmoe2wxxrrcm7e" "Defender" "3" "16" "7" NA NA NA NA NA NA NA NA NA NA NA TRUE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" NA NA "16" "1" "1" "90" "11" "6" "2019-06-10Z" "3btsze7bdibe9vm0to62hecrv" "Argentina" "z2pihtvpr5ei4ip9z9jtqn6x" "Defender" "4" NA "4" "2" "1" NA NA NA NA NA NA NA NA NA TRUE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" NA NA "19" "1" "1" "90" "11" "5" "2019-06-10Z" "3btsze7bdibe9vm0to62hecrv" "Argentina" "828pnq3qyyz72g077xrhf0vyt" "Defender" "4" NA "4" NA "1" "2" NA NA NA NA NA NA NA NA TRUE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" NA NA "25" "1" "1" "90" "4" "2" "2019-06-10Z" "3btsze7bdibe9vm0to62hecrv" "Argentina" "25dr7pldw80etysyp8g8p2f6y" "Defender" "5" "17" "7" NA NA "1" NA NA NA NA NA NA NA NA TRUE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" NA NA "17" "1" NA "79" "1" "4" "2019-06-10Z" "3btsze7bdibe9vm0to62hecrv" "Argentina" "69y0q8t7updv8y4sf043n44fe" "Defensive Midfielder" "1" NA "4" NA NA "1" "1" NA NA NA NA NA NA NA TRUE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" NA NA "40" "1" "1" "90" NA "11" "2019-06-10Z" "3btsze7bdibe9vm0to62hecrv" "Argentina" "5qvgs8yefgkayj9yt1kidkcfd" "Midfielder" "2" NA "2" "3" NA NA NA NA NA NA NA NA NA NA TRUE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" NA NA "22" "1" "1" "90" "4" "10" "2019-06-10Z" "3btsze7bdibe9vm0to62hecrv" "Argentina" "b6b5onwfzxomtw1vm7oo14nsa" "Midfielder" "2" NA "2" NA NA "1" NA NA NA NA NA NA NA NA TRUE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" NA NA "18" "1" NA "64" "1" "8" "2019-06-10Z" "3btsze7bdibe9vm0to62hecrv" "Argentina" "eb1r6yfznxzv13ojkzv5an0x6" "Midfielder" NA NA NA NA NA NA "1" NA NA NA NA NA NA NA TRUE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" NA NA "28" "1" NA "77" NA "7" "2019-06-10Z" "3btsze7bdibe9vm0to62hecrv" "Argentina" "cyqlcyzogla6wql5pms4i02d" "Midfielder" "2" NA "4" "1" "1" NA "1" "1" "1" "1" NA NA NA NA TRUE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" NA NA "34" "1" "1" "90" "2" "9" "2019-06-10Z" "3btsze7bdibe9vm0to62hecrv" "Argentina" "3muz9v69v2ne385qklublobft" "Striker" "3" NA "4" NA "4" NA NA NA "2" "1" "2" NA NA NA TRUE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA "2019-06-10Z" "3btsze7bdibe9vm0to62hecrv" "Argentina" "4b5cvbosi6dy2jsj5jqs0swr9" "Substitute" NA NA NA NA NA NA NA NA NA NA NA "0" NA NA TRUE "4ycyrvendsowt8ogw4l2xr04q" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
