"id_partido","equipo","torneo.x","goals","totalScoringAtt","ontargetScoringAtt","blockedScoringAtt","shotOffTarget","X._precisionTiros","torneo.y","PasesTotales","Total_accuratePass","X._precision","torneo","saves","penaltyConceded","totalClearance","penGoalsConcededEquipo","golesSalvados","totalTackle","wonTackle","fouls","yellowCard","wasFouled","totalThrows","totalOffside","lostCorners","wonCorners","foulsInofensivos","cortarJuegoContrario","juegoCortado"
"1ocwfffs2nxam7wlwpqce7b6y","England U20","SUB20",0,10,2,1,7,20,"SUB20",384,290,75.5208333333333,"SUB20",1,0,20,0,21,13,9,22,2,5,40,0,2,2,20,31,47
"1ocwfffs2nxam7wlwpqce7b6y","Japan U20","SUB20",2,12,3,0,9,25,"SUB20",497,392,78.8732394366197,"SUB20",2,0,32,0,34,15,12,5,0,20,31,2,2,2,5,17,55
"1ogej6zgzsri92i5l03ewh9ii","France U20","SUB20",0,14,5,2,7,35.7142857142857,"SUB20",322,222,68.944099378882,"SUB20",0,0,11,0,11,23,19,14,2,17,30,1,2,3,12,33,51
"1ogej6zgzsri92i5l03ewh9ii","Spain U20","SUB20",1,6,2,2,2,33.3333333333333,"SUB20",481,379,78.7941787941788,"SUB20",5,1,22,0,27,17,13,18,2,13,38,1,3,2,16,31,54
"1zgpsnrwif9cu3jaq9drsc31m","France U20","SUB20",4,24,11,2,11,45.8333333333333,"SUB20",493,390,79.1075050709939,"SUB20",2,0,9,0,11,28,26,2,0,11,32,3,1,9,2,28,55
"1zgpsnrwif9cu3jaq9drsc31m","Ghana U20","SUB20",1,7,3,3,1,42.8571428571429,"SUB20",270,159,58.8888888888889,"SUB20",6,0,20,0,26,38,32,12,1,1,38,2,9,1,11,44,42
"1zkuif1lc6102qsb4yvnwfu5m","Netherlands U20","SUB20",2,11,3,2,6,27.2727272727273,"SUB20",517,385,74.468085106383,"SUB20",1,0,11,0,12,13,8,7,0,10,46,0,5,6,7,15,62
"1zkuif1lc6102qsb4yvnwfu5m","New Zealand U20","SUB20",1,11,2,6,3,18.1818181818182,"SUB20",152,76,50,"SUB20",1,0,36,0,37,13,10,9,0,7,18,1,4,5,9,19,31
"1zomoypt13a5rngg0bolokr56","Ghana U20","SUB20",0,8,2,1,5,25,"SUB20",368,248,67.3913043478261,"SUB20",3,0,24,0,27,14,12,14,1,11,36,2,2,2,13,26,51
"1zomoypt13a5rngg0bolokr56","Netherlands U20","SUB20",4,16,7,4,5,43.75,"SUB20",526,392,74.5247148288973,"SUB20",2,0,8,0,10,31,22,12,0,12,33,2,2,2,12,34,49
"1zry8nz40sbx6uhvwtyc7l7xm","France U20","SUB20",0,11,3,2,6,27.2727272727273,"SUB20",508,396,77.9527559055118,"SUB20",3,0,12,0,15,11,9,11,1,12,36,1,5,6,10,20,55
